,0,1,2,3,4,5,6,7,8
0,0.001,0.024,0.003,0.08,0.612,0.28,,,
1,0.002,0.0,0.014,0.051,0.933,,,,
2,0.035,0.033,0.504,0.428,,,,,
3,0.001,0.006,0.023,0.065,0.905,,,,
4,0.0,0.024,0.606,0.09,0.179,0.101,,,
5,0.0,0.009,0.019,0.029,0.943,,,,
6,0.004,0.046,0.705,0.245,,,,,
7,0.012,0.035,0.451,0.502,,,,,
8,0.0,0.003,0.028,0.113,0.828,0.028,,,
9,0.007,0.035,0.01,0.134,0.814,0.0,,,
10,0.019,0.071,0.81,0.099,0.001,,,,
11,0.0,0.048,0.683,0.071,0.198,,,,
12,0.009,0.009,0.049,0.026,0.907,,,,
13,0.0,0.012,0.613,0.131,0.24,0.004,,,
14,0.0,0.001,0.535,0.127,0.027,0.31,,,
15,0.0,0.067,0.797,0.133,0.003,0.0,,,
16,0.001,0.026,0.008,0.049,0.514,0.402,,,
17,0.005,0.031,0.882,0.081,0.001,0.0,,,
18,0.0,0.004,0.017,0.979,,,,,
19,0.009,0.093,0.45,0.061,0.387,,,,
20,0.019,0.062,0.865,0.048,0.006,,,,
21,0.001,0.025,0.375,0.091,0.508,,,,
22,0.024,0.021,0.846,0.107,0.002,0.0,,,
23,0.014,0.002,0.668,0.109,0.204,0.003,,,
24,0.011,0.063,0.9,0.026,0.0,,,,
25,0.0,0.003,0.027,0.147,0.798,0.025,,,
26,0.0,0.003,0.004,0.163,0.83,0.0,,,
27,0.002,0.051,0.925,0.021,0.001,0.0,,,
28,0.007,0.078,0.904,0.011,0.0,,,,
29,0.016,0.04,0.034,0.091,0.819,,,,
30,0.001,0.009,0.915,0.068,0.007,,,,
31,0.008,0.01,0.218,0.106,0.42,0.238,,,
32,0.001,0.006,0.027,0.116,0.85,,,,
33,0.0,0.011,0.025,0.108,0.418,0.438,,,
34,0.006,0.009,0.007,0.035,0.761,0.182,0.0,0.0,
35,0.022,0.0,0.002,0.043,0.216,0.06,0.297,0.36,
36,0.005,0.0,0.007,0.028,0.509,0.116,0.335,,
37,0.002,0.006,0.251,0.071,0.401,0.081,0.006,0.182,
38,0.0,0.002,0.006,0.064,0.824,0.102,0.002,,
39,0.0,0.003,0.0,0.092,0.057,0.017,0.831,,
40,0.0,0.009,0.003,0.065,0.795,0.101,0.004,0.023,
41,0.028,0.003,0.045,0.081,0.786,0.055,0.002,,
42,0.001,0.008,0.0,0.017,0.001,0.007,0.966,,
43,0.001,0.002,0.008,0.025,0.163,0.046,0.755,,
44,0.0,0.0,0.026,0.007,0.051,0.155,0.761,,
45,0.0,0.002,0.056,0.075,0.748,0.067,0.052,,
46,0.029,0.0,0.011,0.007,0.323,0.07,0.56,,
47,0.0,0.007,0.002,0.048,0.371,0.067,0.505,,
48,0.024,0.01,0.004,0.134,0.828,0.0,0.0,,
49,0.0,0.024,0.019,0.11,0.811,0.036,0.0,,
50,0.017,0.004,0.056,0.018,0.813,0.084,0.007,0.001,
51,0.019,0.019,0.866,0.085,0.005,0.004,0.0,0.002,
52,0.023,0.015,0.017,0.081,0.796,0.068,0.0,,
53,0.03,0.043,0.001,0.017,0.716,0.193,0.0,,
54,0.006,0.008,0.01,0.032,0.753,0.191,0.0,,
55,0.008,0.012,0.049,0.027,0.002,0.159,0.739,0.004,
56,0.0,0.001,0.007,0.035,0.082,0.106,0.769,,
57,0.001,0.028,0.033,0.088,0.84,0.01,0.0,,
58,0.011,0.003,0.002,0.034,0.426,0.093,0.117,0.314,
59,0.001,0.006,0.014,0.037,0.779,0.128,0.035,,
60,0.008,0.005,0.027,0.008,0.186,0.197,0.528,0.041,
61,0.011,0.005,0.038,0.079,0.773,0.084,0.01,,
62,0.045,0.001,0.006,0.121,0.814,0.013,0.0,,
63,0.01,0.023,0.023,0.069,0.601,0.083,0.191,,
64,0.0,0.004,0.0,0.01,0.035,0.039,0.675,0.208,0.029
65,0.019,0.0,0.01,0.013,0.232,0.107,0.545,0.049,0.025
66,0.001,0.007,0.024,0.008,0.019,0.076,0.638,0.148,0.079
67,0.008,0.032,0.063,0.022,0.575,0.068,0.227,0.004,0.001
68,0.007,0.007,0.007,0.039,0.561,0.089,0.242,0.042,0.006
69,0.0,0.0,0.035,0.019,0.043,0.092,0.071,0.017,0.723
70,0.0,0.016,0.036,0.01,0.031,0.019,0.064,0.024,0.8
71,0.0,0.0,0.001,0.109,0.565,0.074,0.25,0.0,0.001
72,0.027,0.016,0.001,0.057,0.16,0.1,0.603,0.034,0.002
73,0.018,0.044,0.047,0.017,0.007,0.031,0.069,0.001,0.766
74,0.019,0.006,0.01,0.0,0.001,0.003,0.033,0.02,0.908
75,0.018,0.0,0.015,0.04,0.313,0.084,0.023,0.028,0.479
76,0.021,0.015,0.002,0.019,0.033,0.026,0.01,0.095,0.779
77,0.032,0.017,0.044,0.044,0.725,0.136,0.002,0.0,0.0
78,0.0,0.001,0.001,0.073,0.541,0.137,0.228,0.019,0.0
79,0.005,0.029,0.567,0.013,0.019,0.08,0.267,0.012,0.008
80,0.013,0.0,0.013,0.023,0.438,0.13,0.373,0.01,0.0
81,0.041,0.0,0.0,0.081,0.776,0.083,0.003,0.003,0.013
82,0.0,0.002,0.02,0.093,0.045,0.107,0.727,0.005,0.001
83,0.01,0.042,0.597,0.008,0.024,0.024,0.021,0.007,0.267
84,0.003,0.039,0.003,0.004,0.024,0.045,0.08,0.001,0.801
85,0.003,0.0,0.024,0.033,0.293,0.126,0.337,0.032,0.152
86,0.0,0.004,0.438,0.004,0.017,0.111,0.358,0.046,0.022
87,0.013,0.021,0.054,0.004,0.036,0.056,0.67,0.146,0.0
88,0.008,0.038,0.004,0.032,0.037,0.122,0.687,0.07,0.002
89,0.0,0.001,0.0,0.001,0.005,0.023,0.756,0.191,0.023
90,0.0,0.0,0.001,0.003,0.048,0.035,0.719,0.08,0.114
91,0.0,0.003,0.022,0.05,0.055,0.129,0.735,0.0,0.006
92,0.004,0.009,0.018,0.113,0.661,0.05,0.14,0.005,0.0
93,0.0,0.007,0.02,0.003,0.023,0.069,0.753,0.125,0.0
