SubjID,TrialID,Level,N_REWARDS,SOL_LENGHT,SUCCESSFUL,N_BACKTRACK,TOTAL_TIME,VIEW_TIME,Color,DepthID
271128a1bc0c48f5b44eb428989c7d17,X5Y51000111101111011111111010010111100111111S1R3_5_19_21_,0,3,11,True,0,2.837875,1.63638759,1,
271128a1bc0c48f5b44eb428989c7d17,X5Y51000111101111011111111010010111100111111S13R3_5_19_21_,0,3,11,True,0,2.31835341,1.16762984,0,
271128a1bc0c48f5b44eb428989c7d17,X5Y50101110011001011111111010111111011111101S11R3_2_14_18_,0,3,10,True,0,2.38607121,0.964570165,1,
271128a1bc0c48f5b44eb428989c7d17,X5Y51101111011111011111111111011001100111111S18R3_7_11_12_,0,3,8,True,0,1.67530322,0.913794041,0,
271128a1bc0c48f5b44eb428989c7d17,X5Y51101011110011110111100111110101111100111S23R5_6_7_9_20_22_,1,5,16,True,0,6.55209637,1.23833847,0,2.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51110110111110010110011111011100110111011S4R4_0_8_10_11_,1,4,17,True,0,3.90910172,1.8106848,1,2.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51111110111111111111111001111011101111101S15R4_2_13_16_17_,1,4,15,True,0,2.85989451,0.9138212,0,2.0
271128a1bc0c48f5b44eb428989c7d17,X5Y50111111111011111010111111001010111111011S7R5_3_11_15_19_23_,1,5,17,True,1,6.295192,1.743013,1,1.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51111111101001111110101100110011110011111S8R5_3_5_6_12_21_,1,5,13,True,4,9.036601,1.23526537,1,1.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51111101011010011010111110111111111111110S12R5_2_4_11_14_22_,1,5,15,True,0,3.26910734,1.3061167,0,2.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51101110111111100110111111101111110111101S13R5_6_15_17_19_23_,1,5,15,True,0,4.873694,1.42147219,1,3.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51101101111111111111111111111111011111100S11R5_2_6_9_15_24_,1,5,18,True,0,3.079882,1.11690032,0,3.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51011111011111101101100111101011001111110S16R4_1_3_5_18_,1,4,12,True,0,2.92760015,1.50610578,0,1.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51111111101111111011100110111111111111001S11R4_2_4_6_19_,1,4,14,True,1,5.2459690000000005,0.8631412,1,2.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51110111011101111101111110111011111111111S0R4_6_9_14_16_,1,4,14,True,1,4.61985254,0.981494367,0,2.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51111110110111111100101110111111010110111S13R5_0_6_17_20_23_,1,5,20,True,1,8.528993,1.43841314,0,3.0
271128a1bc0c48f5b44eb428989c7d17,X5Y50111011111011011111111111010110111111100S12R4_2_13_14_21_,1,4,14,True,0,3.31679583,1.45530987,1,1.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51101011000111111011111101111011011111101S3R5_4_11_15_17_23_,1,5,16,True,0,2.91066456,1.03226817,0,3.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51101111100111111111011001101011111111100S19R4_6_9_15_22_,1,4,15,True,0,3.33374214,1.08303988,0,2.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51010111111110101111010010111101101111010S9R4_7_11_18_21_,1,4,21,True,0,3.89216352,1.11680007,1,2.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51111010001111110010101111101101010101111S6R5_9_11_15_17_20_,1,5,13,True,0,3.58758736,1.0999887,0,3.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51011011111111011011000110111001101001011S14R4_2_4_8_22_,1,4,13,True,0,5.905929,3.062965,1,1.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51111101101100111101101011100110110011111S9R5_6_8_12_18_24_,1,5,16,True,0,4.6198287,1.99684274,1,3.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51101101101111101101111101001110101111111S10R5_1_4_14_22_23_,1,5,23,True,0,5.6859720000000005,1.18456674,1,3.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51001111101101111111111110111100100111111S20R5_6_12_14_16_23_,1,5,15,True,1,4.552158,1.116919,1,3.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51111111001111011110110111111111011110010S11R4_1_8_10_22_,1,4,14,True,0,6.345947,2.369154,1,1.0
271128a1bc0c48f5b44eb428989c7d17,X5Y50011011111111101111011011111111111111011S22R5_10_13_16_18_20_,1,5,15,True,0,3.84139919,1.53995883,1,1.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51111111110111111101011011101110111111111S20R5_1_7_10_21_24_,1,5,17,True,0,5.6352067,2.25070763,0,1.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51010011111111111111111110101101101101111S13R5_4_11_16_19_20_,1,5,17,True,3,10.1366138,1.28610229,0,3.0
271128a1bc0c48f5b44eb428989c7d17,X5Y50011111010011110111111101011111111111111S14R4_12_15_19_21_,1,4,9,True,0,2.1152997000000004,1.09996033,0,1.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51111111011110110101011111011111101111011S2R4_0_7_8_16_,1,4,13,True,0,2.96143484,1.26918542,1,2.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51111001111111110000011111110111110111111S7R5_1_10_12_21_24_,1,5,16,True,0,3.90902925,1.28605831,0,3.0
271128a1bc0c48f5b44eb428989c7d17,X5Y50111111111111101011101101111111111111111S7R4_5_12_13_23_,1,4,11,True,0,2.26767325,1.11692452,0,1.0
271128a1bc0c48f5b44eb428989c7d17,X5Y51111010111110111110001011010111111111111S9R4_6_7_16_21_,1,4,16,True,0,5.025951999999998,2.75835752,1,2.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6111111101000101111101110111111011111101101011110000111011111S1R7_4_10_12_14_17_24_26_,2,7,22,True,0,5.430001,1.6732254,0,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6101111101111111011111110111011111110111101101101011101011011S10R6_2_11_19_22_24_34_,2,6,23,True,0,6.058248000000002,1.33690584,0,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6111111111111111110011111111111110101110111011100101110101001S17R6_0_4_11_13_18_22_,2,6,19,True,0,3.82449532,1.16770017,1,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6011000011110111011111111101111101011111001101111111111111111S14R6_0_8_15_18_27_32_,2,6,16,True,1,5.99051571,1.09995663,0,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6111110110111111101111001111110001111001111111111101110111111S16R6_2_7_11_17_21_32_,2,6,26,True,0,4.97519541,1.607636,0,2.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6111101011010111110101011101110111101111111101111111011101001S15R6_12_18_26_28_31_32_,2,6,16,True,2,15.6363688,1.79375386,1,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6011111111111110111110111110111110101111111110101111010111111S0R6_1_4_12_15_21_29_,2,6,21,True,0,5.58439445,2.21684027,0,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6011101110101011010110010110111111110100111101111111110011111S8R6_6_7_9_17_20_26_,2,6,19,True,0,4.78904772,1.79376268,0,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6101010110101111111110110011101011011110101110110111101100111S16R6_9_15_17_18_31_32_,2,6,18,True,1,5.195162,1.82760775,0,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6011111100011111111011111011101001111101111111110111111111010S19R6_2_7_12_21_25_31_,2,6,17,True,0,4.636789,2.11534715,1,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6111111111111110101011010011111111011001001110110101111111111S34R6_8_23_25_26_27_31_,2,6,22,True,0,5.719728,1.74295819,0,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6000111111111111011011010111001111110010111101010100111111101S33R7_8_9_15_18_19_28_32_,2,7,22,True,1,5.516712999999998,1.25227022,1,2.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6110101111111111111101011011100011111111111111110101111010111S21R7_0_3_13_18_26_32_34_,2,7,18,True,0,3.70603514,1.20149851,1,2.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6011101011111100111110111111111100111111111101111111111111101S18R7_5_7_16_17_20_31_33_,2,7,25,True,1,8.156589,1.13378513,0,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6011101111111111111101011100110011111111111010111111111101111S1R6_4_5_7_21_28_33_,2,6,21,True,0,3.731629,1.464041,1,2.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6110011111100111111111011101110011101011011111111110110111101S16R7_3_12_19_23_24_28_30_,2,7,23,True,1,9.884428,1.04918349,0,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6101110111011101010011110110011111111111111101101001101111111S6R6_1_7_13_16_26_33_,2,6,23,True,1,5.22902966,0.9138102,1,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6011110011111011101000111100111110111111101001101011011111111S0R7_3_8_12_17_20_27_31_,2,7,26,True,0,6.10903931,1.21842921,1,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6111101101111111100111111111110111111111110111111100111110010S0R7_3_8_14_17_28_29_33_,2,7,19,True,2,15.4841166,1.11686838,0,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6111101011111010111111111110111011010111110001111001011100111S10R6_2_9_13_19_28_34_,2,6,20,True,2,12.3054638,1.81349838,1,2.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6101111001011111000001111101111011101111111111110111111001111S14R6_1_3_12_13_18_26_,2,6,15,True,0,3.87526727,1.28610229,1,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6011111001110001111111011101001110110011011111011111010111010S16R6_11_14_18_19_31_32_,2,6,22,True,0,4.77212858,1.16761863,0,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6001111111101010111011111111111010101110111101101011111110001S21R7_2_10_14_16_24_25_30_,2,7,18,True,0,4.29831934,1.28610229,1,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6111111111111111011011111001110010101111111110111111111011000S9R6_12_20_23_26_27_31_,2,6,17,True,1,6.176709,1.506109,1,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6111110101111111111010001011110111011111111010110111111011101S2R6_1_7_8_20_23_30_,2,6,18,True,0,5.059843,1.11691833,0,2.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6111010111111011111110011110110111111111110110101011111111111S21R6_0_11_15_18_20_35_,2,6,25,True,1,11.9071836,1.68600357,1,2.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6111111110011110111111111010110110110011101111110111111101111S14R6_0_15_18_20_30_33_,2,6,22,True,0,4.907514,1.25224626,0,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6111111111111001111111111101000111111001110110111000101111111S18R7_7_9_10_20_21_23_35_,2,7,24,True,1,8.681292,1.20153725,0,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6011111111010111110001100111110011111110010111101110111001011S29R6_8_11_12_16_24_31_,2,6,19,True,0,5.19523859,1.21846282,1,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y6101110110110101110110101111111111110111111111110101011100101S18R6_8_14_17_20_22_26_,2,6,17,True,0,3.87522936,1.06610131,1,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81011111011101110100100101010110111110111010101101111110110001000111001110110101111S39R8_3_11_12_17_23_28_38_43_,3,8,32,True,4,28.2892647,1.77183616,1,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81111110101110000011001111111100010111101111111111011111100101111111101011100101111S15R8_9_13_20_22_30_32_37_43_,3,8,27,True,1,10.723725300000002,1.97480822,0,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81111011111101111001110111111101110101111111111101011110110100110011111101101101011S4R8_3_10_13_17_21_26_37_42_,3,8,28,True,0,7.68279648,1.38762164,0,2.0
271128a1bc0c48f5b44eb428989c7d17,X6Y80101111000010111101100111110111111001111111101011111000000111101110111011110111101S8R8_15_16_19_25_28_31_35_38_,3,8,27,True,0,6.670558,1.54302776,0,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y80111111011110110011111110111111111101111110111011000011111110100101001101111111110S8R8_2_6_12_27_30_35_37_43_,3,8,24,True,0,7.10745859,0.9645794,0,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81111111111011111100111010011111101101001111111111111000111000110000001111101100111S9R8_0_10_14_17_19_22_38_44_,3,8,28,True,3,11.4565086,1.08304071,1,2.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81011111110000111001101001101101110000110111101111111011011011011111111111101111010S24R8_11_21_27_30_33_34_39_42_,3,8,25,True,1,6.56905746,1.47540045,0,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81101011111101101100101110101111111110110111111111111011101010111101001101011101101S29R8_0_2_14_16_23_24_35_43_,3,8,24,True,2,7.9700675,2.555276,1,2.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81111110111101111001010011011101101101100000111111111101111011011110110111101101110S9R8_0_1_3_13_16_27_37_43_,3,8,26,True,0,6.48126125,0.947577238,0,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81011110111110011111111000101011101001110011110110111101011010110011011011111111111S22R8_3_21_23_25_30_35_37_39_,3,8,32,True,2,13.6937809,2.37262464,1,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81111100101101110111111011011011011111010011011111011111011110011111111111101111111S0R8_1_8_11_29_31_36_42_43_,3,8,19,True,0,4.31526327,1.35378671,0,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81111111110001011001100111111010101010111111111111011111011001110111111111110011101S15R8_1_8_9_16_26_29_32_40_,3,8,21,True,2,9.51043,1.269174,1,2.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81111111111111011010111111111101110011001110101111100111011110100111110110011101100S6R8_11_14_18_28_32_34_35_39_,3,8,28,True,3,9.831949,1.5906688,1,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81010000111111110111101110100111100111100011111111100111111111111101010100110011111S23R8_0_3_18_20_37_41_43_46_,3,8,26,True,0,5.076752,1.25226748,0,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y80110111110110111011110001011110110111111101110110011110011101111101111011110110111S15R8_2_6_9_25_30_37_41_43_,3,8,22,True,0,4.61980724,1.47225881,1,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81111001110100111111011110111011100010011001110101011001110111111101110111110010111S27R8_0_1_12_24_29_30_40_43_,3,8,30,True,0,6.48131561,1.97991168,1,2.0
271128a1bc0c48f5b44eb428989c7d17,X6Y80110011101101111111111111001111001101111010111111101101111111111101111111111101010S8R8_11_14_15_26_28_41_44_46_,3,8,30,True,1,7.161339,1.15383112,1,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81000011111111111111101111111110101011011001100111011101011010111101111100111011011S32R8_11_14_15_25_35_36_38_46_,3,8,24,True,0,5.550573,0.998415232,1,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y80111111010101101101011101101111100111001101000111011101111011101011011100111111110S46R8_10_11_26_30_31_33_36_45_,3,8,28,True,1,9.66277,1.3876251,1,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y80110110110001101111001110101110111111011001111111001110111011011111001111111111110S16R8_3_4_8_20_23_24_35_41_,3,8,27,True,3,15.14562,1.48916161,0,2.0
271128a1bc0c48f5b44eb428989c7d17,X6Y80000011001011100010111100111001101111011111010011110011100101011111101111011111111S0R8_1_16_21_31_32_34_37_40_,3,8,21,True,3,9.104303,1.15075755,0,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y80110111101001111110111111011010111111011110111011111101010111111111010111111001100S21R8_2_4_6_12_27_28_31_39_,3,8,24,True,0,5.161329,2.1152873,1,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81111110111110111110111011111001101101100001111011010111110111111111001101001111010S38R8_5_9_13_28_29_32_44_45_,3,8,26,True,1,7.25981569,1.2184469999999998,1,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y80101111111011111111001000111011111111101011011110111011010111101101011110111011111S9R8_0_14_15_17_27_30_36_47_,3,8,35,True,17,57.7226944,1.083039,0,2.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81011110111010010100110111110111111011110110011101011010001101110111111110001100011S4R8_3_13_26_30_32_34_44_46_,3,8,31,True,3,8.901266,2.04764318,1,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81001111011001111111110011110011111111111111101100001111011100101111101010111110001S34R8_1_10_17_22_23_25_27_28_,3,8,26,True,0,7.09357262,1.4584533000000002,0,1.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81111101111101101111101011001011111111101011101101011001100111100111010111100101111S11R8_5_10_13_15_18_39_43_44_,3,8,27,True,1,12.7934475,1.25225866,0,2.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81011111111101001101111001111111000011111111111101111011011101111000010011000011110S17R8_4_5_12_18_20_35_41_42_,3,8,17,True,3,9.29046,1.13380957,0,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81101011100111111111101111100101101110011101011001001101110110111111101111011101111S40R8_1_12_18_20_30_36_41_44_,3,8,32,True,1,10.0181389,0.98151195,1,3.0
271128a1bc0c48f5b44eb428989c7d17,X6Y80111111110011111011101001011000100111111110111011011101111101101000011111011111111S12R8_1_6_7_9_40_41_44_46_,3,8,27,True,0,8.275157,1.50614536,0,2.0
271128a1bc0c48f5b44eb428989c7d17,X6Y81111111101110001001011111101011101111011011110111101110101010101010100111111111110S12R9_3_4_9_10_17_23_25_33_38_,4,9,26,True,3,18.6942368,1.65329015,0,
271128a1bc0c48f5b44eb428989c7d17,X6Y81101011011111100111110110110101111101001011111010011111010111011101011011101000100S25R10_0_1_8_12_16_17_32_37_41_44_,4,10,26,True,1,10.0519533,1.65839314,0,
271128a1bc0c48f5b44eb428989c7d17,X6Y81010111111101111111010011011010111111111101110110111111111101111011111111011110001S35R9_10_11_15_17_22_24_25_41_43_,4,9,27,True,3,26.4663677,5.38091469,1,
271128a1bc0c48f5b44eb428989c7d17,X6Y81101011110110111111101011110111110011111111100111111111111011101001001111100011101S7R10_0_2_4_11_12_27_33_34_36_38_,4,10,26,True,0,12.150341,5.787468,1,
271128a1bc0c48f5b44eb428989c7d17,X6Y81111011111111000011111111101101110010010110110101011100110101111010111111001111010S35R10_1_3_5_8_11_14_19_21_29_39_,4,10,29,False,5,-1.0,3.50296187,0,
271128a1bc0c48f5b44eb428989c7d17,X6Y81011110011111011111111011111111101111111010111111101000010111101110111111111111111S38R9_2_3_6_12_14_24_39_44_45_,4,9,30,True,1,21.288454100000006,2.43679118,1,
271128a1bc0c48f5b44eb428989c7d17,X6Y81101011111111111111111111101110110111101100111111110111000011011111001001111110111S41R9_10_17_18_21_23_26_27_34_37_,4,9,26,True,3,22.4392052,3.16449571,1,
271128a1bc0c48f5b44eb428989c7d17,X6Y81101110111101011101110101111110011110111010111111111111111011111111111111101111111S35R9_1_2_20_23_33_37_39_40_41_,4,9,25,True,3,19.9178181,4.78909063,0,
271128a1bc0c48f5b44eb428989c7d17,X6Y81111111111111111111010110110011111110010111111111110111010111001110101111010111110S46R9_1_3_13_21_30_34_35_42_43_,4,9,23,True,1,7.83513,0.7107329000000001,0,
271128a1bc0c48f5b44eb428989c7d17,X6Y80111010101111111101110111100001011001010011111111000111011111011110101110011100111S38R10_1_4_13_16_17_25_30_37_45_46_,4,10,27,True,4,13.4025984,1.42147434,1,
271128a1bc0c48f5b44eb428989c7d17,X6Y81111111101111101010101101101111101011111011110000011101100111101111011011001011101S8R9_4_6_11_12_27_30_40_41_43_,4,9,32,False,10,-1.0,1.55687463,1,
271128a1bc0c48f5b44eb428989c7d17,X6Y81111101000111001101110111111100111101011110111110011111110110011011111001100110101S41R9_9_10_14_17_19_23_31_34_38_,4,9,21,True,1,11.6426811,2.08151364,1,
271128a1bc0c48f5b44eb428989c7d17,X6Y81111011101111101000110111000010111001111110111011111001110111110010111111111110101S16R10_10_11_18_24_26_27_37_38_39_47_,4,10,26,True,1,11.7442322,5.465984,1,
271128a1bc0c48f5b44eb428989c7d17,X6Y81111110111111111110111110010111110010111011111111111011111111010111110110111011010S25R10_0_5_9_14_15_24_27_30_42_44_,4,10,28,True,3,26.856048600000005,1.25225759,1,
271128a1bc0c48f5b44eb428989c7d17,X6Y81111010110101001011111001111111111010001111101101100101111111110111011011111101111S8R10_2_6_7_9_13_17_29_31_38_46_,4,10,24,False,10,47.2984428,1.60764134,0,
271128a1bc0c48f5b44eb428989c7d17,X6Y81110111111111110111011010111111101011001111110011111111011111111111011110111110011S41R9_4_10_11_21_32_34_42_44_46_,4,9,28,True,1,20.7300644,2.40299368,1,
271128a1bc0c48f5b44eb428989c7d17,X6Y81011110111111111101111100111101111111111111111010110111011111110101110111111111111S33R9_0_1_5_7_13_16_23_32_47_,4,9,34,True,1,9.324258,2.030686,1,
271128a1bc0c48f5b44eb428989c7d17,X6Y81111111010110111111110100110111111010101101101101111101101111111111111101111110110S31R10_2_5_10_11_21_26_32_37_39_43_,4,10,30,True,5,18.9532261,2.3183740000000004,0,
271128a1bc0c48f5b44eb428989c7d17,X6Y81111111011010100111001111100111111110101111101111111011010001011111001111100111111S14R9_15_19_21_22_23_24_30_37_39_,4,9,33,False,11,-1.0,3.85836482,0,
271128a1bc0c48f5b44eb428989c7d17,X6Y81111100110111100111101100101111111101111111110111011011111111110111010101111001101S41R10_17_19_22_25_30_34_37_40_44_45_,4,10,21,True,0,15.331734699999998,3.36755943,1,
271128a1bc0c48f5b44eb428989c7d17,X6Y81111111000110110110111011111110101111110101011111110111110111111000011110101111110S17R10_1_4_5_7_12_14_15_18_33_35_,4,10,31,True,3,25.2652779,8.393575,1,
271128a1bc0c48f5b44eb428989c7d17,X6Y81101011001111111011111111101101110111111011001110101100110010111011000010111000111S11R10_3_6_8_10_13_19_24_26_36_42_,4,10,31,True,0,14.2994766,5.24595547,0,
271128a1bc0c48f5b44eb428989c7d17,X6Y81011101111101111001101010110101111111111111011111110111011101111111111111011110001S15R10_4_6_17_21_23_25_29_33_40_42_,4,10,6,False,0,-1.0,37.41314000000001,0,
271128a1bc0c48f5b44eb428989c7d17,X6Y81011111111111111001111111111111110110111100111111111111111101001011111101111110111S29R9_0_7_11_14_18_19_25_36_47_,4,9,27,False,7,-1.0,2.55978012,1,
271128a1bc0c48f5b44eb428989c7d17,X6Y80110110111101111111101111110101000111101010110111110101111110011101011101011111111S6R10_0_8_10_11_15_16_19_23_30_42_,4,10,28,False,3,37.5540962,2.98154426,0,
271128a1bc0c48f5b44eb428989c7d17,X6Y81111101101111111111010100101111011111101111011101110011101011101101110101111101011S36R9_0_1_2_8_15_26_33_34_46_,4,9,28,True,0,6.431743,1.55686867,0,
271128a1bc0c48f5b44eb428989c7d17,X6Y81101101110111111110111001110111011110111111101100111111111111011001110001011111111S47R10_0_2_4_6_16_24_25_42_44_45_,4,10,33,True,3,19.4946918,1.404546,1,
271128a1bc0c48f5b44eb428989c7d17,X6Y80010111010011111110001001111011101101101101011011111111111111000010111111111111110S17R9_2_6_14_20_22_23_29_31_35_,4,9,26,True,0,9.036607,2.047611,0,
